tarih,toplam_satýþ
2016-01,40077    
2016-02,47409    
2016-03,52374    
2016-04,46908    
2016-05,56043    
2016-06,49354    
2016-07,37829    
2016-08,53784    
2016-09,50972    
2016-10,61677    
2016-11,63467    
2016-12,71792    
2017-01,44235    
2017-02,45215    
2017-03,56376    
2017-04,51988    
2017-05,52976    
2017-06,45433    
2017-07,53949    
2017-08,56498    
2017-09,70019    
2017-10,56994    
2017-11,59354    
2017-12,66661    
2018-01,44363    
2018-02,43713    
2018-03,50701    
2018-04,47534    
2018-05,55502    
2018-06,57064    
2018-07,57617    
2018-08,49362    
2018-09,60219    
2018-10,74815    
2018-11,40821    
2018-12,69861    
2019-01,31048    
2019-02,32648    
2019-03,44163    
2019-04,37784    
2019-05,37246    
2019-06,23265    
2019-07,38931    
2019-08,40634    
2019-09,51393    
2019-10,50181    
2019-11,48909    
2019-12,75480    
2020-01,36040    
2020-02,37303    
2020-03,34089    
2020-04,14848    
2020-05,16860    
2020-06,58632    
2020-07,67937    
2020-08,52123    
2020-09,41376    
2020-10,36976    
2020-11,36658    
2020-12,36898    
2021-01,22268    
2021-02,24737    
2021-03,33365    
2021-04,29212    
2021-05,18204    
2021-06,40092    
2021-07,32672    
2021-08,42639    
2021-09,43967    
2021-10,41914    
2021-11,55706    
2021-12,76747    
